Scenario,Profit,In_Out
1,190853.35353310118,In
2,74964.61508412867,In
3,314309.5468428462,In
4,431733.477970304,In
5,31115.179847357238,In
6,206813.10785293966,In
7,2164.8136473537115,In
8,120863.28057786044,In
9,81633.67224312697,In
10,20183.03836907049,In
11,31368.541207998107,In
12,53933.74800331701,In
13,39925.34566601612,In
14,196566.85014291605,In
15,117778.88196868545,In
16,342460.1999576236,In
17,103002.49764878298,In
18,40176.142385995416,In
19,143092.14716047054,In
20,101911.22773844497,In
21,32196.082667375988,In
22,33007.5654693749,In
23,110184.2594187256,In
24,188456.45828893295,In
25,71421.01815887197,In
26,146159.68365519142,In
27,239539.427624151,In
28,97363.20109813655,In
29,170263.38071625883,In
30,90862.98605164472,In
31,256488.77271340968,In
32,543577.7673247594,In
33,81125.97618463337,In
34,212926.01709734864,In
35,263263.2729695111,In
36,192514.2949479947,In
37,76062.41770535527,In
38,6430.891591957453,In
39,328811.019345411,In
40,86103.92368821557,In
41,76062.41770535527,In
42,95411.02226203345,In
43,20519.40514958989,In
44,28494.430213866613,In
45,142477.24531909687,In
46,201787.82492407755,In
47,134345.65043590096,In
48,61908.56308539984,In
49,227365.58627800975,In
50,117110.87376119355,In
51,136460.27259808118,In
52,56093.03300343902,In
53,264220.78042044234,In
54,20292.62619715053,In
55,28204.482540388384,In
56,149741.56604940444,In
57,122871.36943911706,In
58,85926.54945950385,In
59,125032.46584028087,In
60,124564.75209285876,In
61,77435.44953373668,In
62,120752.32023043033,In
63,74976.5656954651,In
64,104467.93191973126,In
65,173260.5850859479,In
66,32091.547334818377,In
67,101990.95168980707,In
68,104865.44674094954,In
69,325293.8317478678,In
70,11106.96745732626,In
71,328811.019345411,In
72,121249.34138684774,In
73,188765.6753971329,In
74,43318.549152398766,In
75,10337.584136067424,In
76,331048.87622488185,In
77,69114.57893968993,In
78,11694.288469094163,In
79,156120.90061892683,In
80,125440.43786844483,In
81,1543.1061709424216,In
82,254893.2088948716,In
83,202185.9251809459,In
84,148295.25971518666,In
85,428069.1726647621,In
86,197181.19481250813,In
87,52370.75327801721,In
88,101911.22773844497,In
89,197181.19481250813,In
90,123916.57411218503,In
91,105690.91112094707,In
92,139058.4225536058,In
93,69600.63449493397,In
94,285255.5959332816,In
95,76702.4943958776,In
96,151075.60114157642,In
97,19871.573181788637,In
98,39265.5133710839,In
99,264406.4193648959,In
100,19902.06812861396,In
101,136119.3812674746,In
102,411792.40868364956,In
103,66423.54334467725,In
104,121439.10584688505,In
105,41355.474785858845,In
106,11288.904684200159,In
107,32234.160854574053,In
108,11288.904684200159,In
109,181506.21642739768,In
110,16644.098121428873,In
111,63008.810111281025,In
112,32234.160854574053,In
113,70127.9428891891,In
114,52370.75327801721,In
115,15884.663726061566,In
116,58173.759495930746,In
117,284872.05968097254,In
118,56698.675008727696,In
119,297441.6463812606,In
120,11521.748019808649,In
121,9152.105736839418,In
122,146663.66948292503,In
123,251826.9335244701,In
124,29488.024327564093,In
125,11237.633196980647,In
126,239539.427624151,In
127,57269.1389914436,In
128,121249.34138684774,In
129,16916.260160010985,In
130,14604.248816646352,In
131,132821.9020938037,In
132,117110.87376119355,In
133,178206.82954112973,In
134,96530.94889253845,In
135,183054.8515366283,In
136,192514.2949479947,In
137,29541.082466864504,In
138,136928.4355978845,In
139,176973.5780817613,In
140,342460.1999576236,In
141,178654.09649426243,In
142,235150.86344352158,In
143,263428.3875237821,In
144,40988.15777118361,In
145,57681.68765931159,In
146,74976.5656954651,In
147,201847.04528388832,In
148,13569.14556690708,In
149,66002.88633965989,In
150,16818.97571970205,In
151,210416.21245457826,In
152,181506.21642739768,In
153,93061.70920212002,In
154,15050.035220799524,In
155,108114.79577914566,In
156,108452.01785716294,In
157,67693.06937553508,In
158,142093.18696109913,In
159,55597.874605330195,In
160,65368.74965402813,In
161,182135.90589331437,In
162,145294.5160624636,In
163,146159.68365519142,In
164,34202.7904621531,In
165,77435.44953373668,In
166,345080.2138864429,In
167,466890.5847672863,In
168,105187.34269618438,In
169,263887.5413533354,In
170,32023.415104169457,In
171,191160.22545502524,In
172,46621.85239013574,In
173,263467.26165606786,In
174,152412.76994557775,In
175,121318.43826609229,In
176,107072.67113543104,In
177,66526.48096815894,In
178,75508.64442291381,In
179,6823.767501040647,In
180,186289.6743488778,In
181,116014.41910832896,In
182,184601.38916438533,In
183,378454.05653047544,In
184,1543.1061709424216,In
185,157928.67544776664,In
186,68050.56590195303,In
187,29499.62599334584,In
188,151194.97261828545,In
189,156120.90061892683,In
190,85612.63819214405,In
191,254956.82082486709,In
192,40577.3593945984,In
193,12572.673103210112,In
194,70127.9428891891,In
195,30278.89169039231,In
196,176973.5780817613,In
197,56877.50792656932,In
198,141167.77977427523,In
199,150078.02361725885,In
200,136859.79231420174,In
201,52437.83061331748,In
202,10337.584136067424,In
203,15884.663726061566,In
204,21803.46134705303,In
205,105690.91112094707,In
206,285255.5959332816,In
207,245078.51283861857,In
208,428545.36750896636,In
209,173260.5850859479,In
210,30346.37092899988,In
211,6823.767501040647,In
212,145236.22538637294,In
213,85770.45449477412,In
214,127211.30075100073,In
215,192541.9675741063,In
216,306035.18197163293,In
217,62803.246854545185,In
218,186501.2213069051,In
219,69875.87404619502,In
220,8739.885243894836,In
221,20938.397573979673,In
222,139058.4225536058,In
223,48501.538196910245,In
224,67990.16132107726,In
225,116482.14173058819,In
226,39146.91839149229,In
227,149042.3902923228,In
228,377627.9181728316,In
229,274634.2096414078,In
230,264220.78042044234,In
231,8739.885243894836,In
232,143092.14716047054,In
233,95179.64098712553,In
234,177993.599791082,In
235,170263.38071625883,In
236,133234.88731344265,In
237,114090.29902823274,In
238,119284.36148894188,In
239,255445.13203752015,In
240,283510.706830819,In
241,201847.04528388832,In
242,357783.65621892235,In
243,112843.79488180812,In
244,34997.20490263939,In
245,56203.02407151219,In
246,186104.68613235408,In
247,31899.13444652949,In
248,48236.669713312745,In
249,205796.44158923862,In
250,92555.18024427255,In
251,43687.264037269066,Out
252,43327.5464195368,Out
253,44143.463476478144,Out
254,31677.43950956489,Out
255,32282.852883189986,Out
256,58830.52324489066,Out
257,56227.228206602485,Out
258,57340.24428616276,Out
259,35730.29576401701,Out
260,35526.73175170334,Out
261,36048.310314960436,Out
262,39314.989870433514,Out
263,38862.09466793766,Out
264,39895.50151120747,Out
265,32758.53850369031,Out
266,32514.648308363456,Out
267,33091.250494351116,Out
268,6437.0115881724205,Out
269,6514.907423182372,Out
270,14568.228271991225,Out
271,14668.080592531951,Out
272,6836.066668337,Out
273,6888.431939095903,Out
274,5049.560650347792,Out
275,5042.140532081325,Out
276,5094.602485008922,Out
277,17655.064194174793,Out
278,17536.560500732663,Out
279,17857.32724628718,Out
280,12451.332206291258,Out
281,12413.711841521628,Out
282,38697.75628925857,Out
283,38236.8885901276,Out
284,17064.810863048533,Out
285,17316.281987741615,Out
286,28731.030072327685,Out
287,28423.693107694937,Out
288,29051.752624852972,Out
289,40185.81451277649,Out
290,2164.8136473537124,Out
291,2164.8136473537124,Out
292,11575.067267949631,Out
293,14304.550954231612,Out
294,14189.16543150534,Out
295,14458.12935489305,Out
296,255827.69822093353,Out
297,255378.31881990156,Out
298,101369.37012975273,Out
299,101206.1124818339,Out
300,100723.48864611663,Out
301,197467.3304288276,Out
302,198004.45569976326,Out
303,215336.8027728642,Out
304,319050.0640640465,Out
305,319040.08829562936,Out
306,315396.0192413857,Out
307,778.2735351744873,Out
308,-650.6978253698085,Out
309,2494.3249148007694,Out
310,84238.53485259462,Out
311,84407.75390159586,Out
